==============================================================================
ReFS Object ID Table
==============================================================================
  Image:            win11refstestmftecmd.raw
  Partition start:  0x1000000
  Cluster size:     0x1000
  ReFS version:     3.14
  CPC:              0x4000 (shift=15)
  Container entries:63
  OID Table root:   [0x13c04, 0x13c05, 0x13c06, 0x13c07]
  OID Table phys:   [0x3c04, 0x3c05, 0x3c06, 0x3c07]

Total objects: 250

  OID      Name                             Root LCN Physical LCN    Sig Extra
  ----------------------------------------------------------------------------
  0x7fd    Directory/File (0x7fd)            0x10c1c        0xc1c   MSB+    +8
  0x7ff    Directory/File (0x7ff)            0x13a4c       0x3a4c   MSB+    +8
  0x800    Directory/File (0x800)            0x11010       0x1010   MSB+    +8
  0x801    Directory/File (0x801)            0x12c3c       0x2c3c   MSB+    +8
  0x802    Directory/File (0x802)            0x10c20        0xc20   MSB+    +8
  0x803    Directory/File (0x803)            0x1263c       0x263c   MSB+    +8
  0x804    Directory/File (0x804)            0x11c34       0x1c34   MSB+    +8
  0x805    Directory/File (0x805)            0x12414       0x2414   MSB+    +8
  0x806    Directory/File (0x806)            0x1201c       0x201c   MSB+    +8
  0x807    Directory/File (0x807)            0x11438       0x1438   MSB+    +8
  0x808    Directory/File (0x808)            0x1101c       0x101c   MSB+    +8
  0x809    Directory/File (0x809)            0x1102c       0x102c   MSB+    +8
  0x80a    Directory/File (0x80a)            0x1181c       0x181c   MSB+    +8
  0x80b    Directory/File (0x80b)            0x11e38       0x1e38   MSB+    +8
  0x80c    Directory/File (0x80c)            0x12c44       0x2c44   MSB+    +8
  0x80d    Directory/File (0x80d)            0x12024       0x2024   MSB+    +8
  0x80e    Directory/File (0x80e)            0x11210       0x1210   MSB+    +8
  0x80f    Directory/File (0x80f)            0x10420        0x420   MSB+    +8
  0x810    Directory/File (0x810)            0x10424        0x424   MSB+    +8
  0x811    Directory/File (0x811)            0x1242c       0x242c   MSB+    +8
  0x812    Directory/File (0x812)            0x1202c       0x202c   MSB+    +8
  0x813    Directory/File (0x813)            0x12a38       0x2a38   MSB+    +8
  0x814    Directory/File (0x814)            0x11440       0x1440   MSB+    +8
  0x815    Directory/File (0x815)            0x13424       0x3424   MSB+    +8
  0x816    Directory/File (0x816)            0x10e28        0xe28   MSB+    +8
  0x817    Directory/File (0x817)            0x12e30       0x2e30   MSB+    +8
  0x818    Directory/File (0x818)            0x12a0c       0x2a0c   MSB+    +8
  0x819    Directory/File (0x819)            0x13c38       0x3c38   MSB+    +8
  0x81a    Directory/File (0x81a)            0x12028       0x2028   MSB+    +8
  0x81b    Directory/File (0x81b)            0x10438        0x438   MSB+    +8
  0x81c    Directory/File (0x81c)            0x10e50        0xe50   MSB+    +8
