==============================================================================
ReFS Directory Tree
==============================================================================
  Image:           win11refstestmftecmd.raw
  ReFS version:    3.14
  Cluster size:    0x1000
  Objects:         250
  Start OID:       0x600
  Start name:      Root Directory

  Total entries:   1744 (237 directories, 1507 files, 84 ADS)

  Type  OID          Attrs            Size Modified             Path
  FILE  0x74e        ARCHIVE        219586 2026-05-23 07:34:04  test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_tango_echo_291736.csv
  FILE  (resident)   ARCHIVE             0 2022-02-07 07:16:33  test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_temp_sierra_130629.tmp
  FILE  (resident)   ARCHIVE             0 2021-10-19 07:16:21  test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_trace_gamma_651618.dat
  FILE  0x755        ARCHIVE        505381 2026-05-23 07:34:01  test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_victor_tango_152379.bin
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:03  test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_yankee_victor_114004.ini
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:05  test/elvis_dir_papa_805353/xbpt_audit_index_229436.csv
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:04  test/elvis_dir_papa_805353/xbpt_mike_oscar_154118.csv
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:05  test/elvis_dir_papa_805353/xbpt_november_hotel_509136.md
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:01  test/elvis_dir_papa_805353/xbpt_november_record_124675.bak
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:04  test/elvis_dir_papa_805353/xbpt_november_sierra_312346.xml
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:05  test/elvis_dir_papa_805353/xbpt_oscar_archive_362034.json
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:05  test/elvis_dir_papa_805353/xbpt_papa_victor_656146.log
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:06  test/elvis_dir_papa_805353/xbpt_temp_data_294711.md
  FILE  0x74d        ARCHIVE        185084 2026-05-23 07:34:03  test/elvis_dir_papa_805353/xbpt_temp_log_141240.cfg
  DIR   0x74c        DIRECTORY             2026-05-23 07:34:06  test/elvis_dir_record_449015
  DIR   0x767        DIRECTORY             2026-05-23 07:34:05  test/elvis_dir_record_449015/elvis_dir_lima_252141
  DIR   0x74e        DIRECTORY             2026-05-23 07:34:06  test/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778
  DIR   0x74a        DIRECTORY             2026-05-23 07:34:04  test/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_beta_984608
  FILE  0x741        ARCHIVE        407804 2026-03-01 07:16:07  test/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_beta_984608/xbpt_cache_zulu_259753.dat
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:03  test/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_beta_984608/xbpt_delta_india_877880.dat
  FILE  0x748        ARCHIVE        408171 2023-08-26 07:16:12  test/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_beta_984608/xbpt_delta_temp_981764.tmp
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:02  test/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_beta_984608/xbpt_mike_quebec_329740.dat
  DIR   0x756        DIRECTORY             2026-05-23 07:34:05  test/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_cache_505509
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:01  test/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_cache_505509/xbpt_mike_trace_701071.dat
