==============================================================================
ReFS Object ID Table
==============================================================================
  Image:            win11refs2tspecials.raw
  Partition start:  0x1000000
  Cluster size:     0x1000
  ReFS version:     3.14
  CPC:              0x4000 (shift=15)
  Container entries:32767
  OID Table root:   [0x11610, 0x11611, 0x11612, 0x11613]
  OID Table phys:   [0x1610, 0x1611, 0x1612, 0x1613]

Total objects: 230

  OID      Name                             Root LCN Physical LCN    Sig Extra
  ----------------------------------------------------------------------------
  0x7cc    Directory/File (0x7cc)            0x10624        0x624   MSB+    +8
  0x7cd    Directory/File (0x7cd)            0x13c18       0x3c18   MSB+    +8
  0x7ce    Directory/File (0x7ce)            0x13c20       0x3c20   MSB+    +8
  0x7cf    Directory/File (0x7cf)            0x12c34       0x2c34   MSB+    +8
  0x7d0    Directory/File (0x7d0)            0x11c0c       0x1c0c   MSB+    +8
  0x7d1    Directory/File (0x7d1)            0x13820       0x3820   MSB+    +8
  0x7d2    Directory/File (0x7d2)            0x1202c       0x202c   MSB+    +8
  0x7d3    Directory/File (0x7d3)            0x11638       0x1638   MSB+    +8
  0x7d5    Directory/File (0x7d5)            0x11228       0x1228   MSB+    +8
  0x7d6    Directory/File (0x7d6)            0x12038       0x2038   MSB+    +8
  0x7d7    Directory/File (0x7d7)            0x1221c       0x221c   MSB+    +8
  0x7d8    Directory/File (0x7d8)            0x13e38       0x3e38   MSB+    +8
  0x7d9    Directory/File (0x7d9)            0x11e2c       0x1e2c   MSB+    +8
  0x7da    Directory/File (0x7da)            0x11e30       0x1e30   MSB+    +8
  0x7db    Directory/File (0x7db)            0x13e08       0x3e08   MSB+    +8
  0x7dc    Directory/File (0x7dc)            0x1121c       0x121c   MSB+    +8
  0x7dd    Directory/File (0x7dd)            0x13c30       0x3c30   MSB+    +8
  0x7de    Directory/File (0x7de)            0x10e14        0xe14   MSB+    +8
  0x7df    Directory/File (0x7df)            0x13c34       0x3c34   MSB+    +8
  0x7e0    Directory/File (0x7e0)            0x11a1c       0x1a1c   MSB+    +8
  0x7e1    Directory/File (0x7e1)            0x10614        0x614   MSB+    +8
  0x7e2    Directory/File (0x7e2)            0x13a04       0x3a04   MSB+    +8
  0x7e3    Directory/File (0x7e3)            0x10a04        0xa04   MSB+    +8
  0x7e4    Directory/File (0x7e4)            0x11000       0x1000   MSB+    +8
  0x7e5    Directory/File (0x7e5)            0x11828       0x1828   MSB+    +8
  0x7e6    Directory/File (0x7e6)            0x1242c       0x242c   MSB+    +8
  0x7e7    Directory/File (0x7e7)            0x11648       0x1648   MSB+    +8
  0x7e9    Directory/File (0x7e9)            0x13240       0x3240   MSB+    +8
  0x7ea    Directory/File (0x7ea)            0x10e28        0xe28   MSB+    +8
  0x7eb    Directory/File (0x7eb)            0x1323c       0x323c   MSB+    +8
  0x7ee    Directory/File (0x7ee)            0x1162c       0x162c   MSB+    +8
  0x7f0    Directory/File (0x7f0)            0x11428       0x1428   MSB+    +8
  0x7f2    Directory/File (0x7f2)            0x13238       0x3238   MSB+    +8
  0x7f3    Directory/File (0x7f3)            0x10c08        0xc08   MSB+    +8
  0x7f4    Directory/File (0x7f4)            0x10e34        0xe34   MSB+    +8
