==============================================================================
ReFS MLog Analysis — win11refs2tspecials.raw
ReFS v3.14 | cluster_size=0x1000 | objects=230
==============================================================================

==============================================================================
MLog Control Area
==============================================================================
  Control PLCN:      0x30
  Signature:         MLog
  Format magic:      0x6dfbad7b (per-volume const, NOT a CRC — E42/#343; differs after a reformat)
  Version:           1
  Sector size:       0x1000
  UUID:              525a042c-58aa-4cca-a4f2-125f8bebb05f
  Sequence:          69
  Write counter:     2
  Flags:             0x1
  Total entries:     0
  Generation:        4995
  Data area:         0x8000 - 0x48000 (262144 clusters)
  LSN oldest:        0x1383.1
  Dispatch table:    v3.14 (44 opcodes)

==============================================================================
Data Area Summary
==============================================================================
  Total pages:       262144
  zero                 257150  ( 98.1%)
  MLog                   4994  (  1.9%)

==============================================================================
Redo Records
==============================================================================
  Total records:      7223
  Transaction starts: 2666
  Transaction commits: 0

     #  Opcode  Name                                             OID   Flags   Size
  ────  ──────  ────────────────────────────────────────  ──────────  ──────  ─────
   263  0x0007  RedoFree                                        0x11       S    336
   264  0x0007  RedoFree                                        0x11       S    336
   265  0x0007  RedoFree                                        0x11       S    336
   266  0x0007  RedoFree                                        0x11       S    336
   267  0x0007  RedoFree                                        0x11       S    336
   268  0x0007  RedoFree                                        0x11       S    336
   269  0x0007  RedoFree                                        0x11       S    336
   270  0x0007  RedoFree                                        0x11       S    336
   271  0x0007  RedoFree                                        0x11       S    336
   272  0x0007  RedoFree                                        0x11       S    336
   273  0x0007  RedoFree                                        0x11       S    336
   274  0x0007  RedoFree                                        0x11       S    336
   275  0x0007  RedoFree                                        0x11       S    336
   276  0x0007  RedoFree                                        0x11       S    336
   277  0x0007  RedoFree                                        0x11       S    336
   278  0x0007  RedoFree                                        0x11       S    336
   279  0x0007  RedoFree                                        0x11       S    336
   280  0x0007  RedoFree                                        0x11       S    336
   281  0x0007  RedoFree                                        0x11       S    336
   282  0x0007  RedoFree                                        0x11       S    336
   283  0x0007  RedoFree                                        0x11       S    336
   284  0x0007  RedoFree                                        0x11       S    336
   285  0x0007  RedoFree                                        0x11       S    336
   286  0x0007  RedoFree                                        0x11       S    336
   287  0x0007  RedoFree                                        0x11       S    336
   288  0x0007  RedoFree                                        0x11       S    336
   289  0x0007  RedoFree                                        0x11       S    336
   290  0x0007  RedoFree                                        0x11       S    336
   291  0x0007  RedoFree                                        0x11       S    336
   292  0x0007  RedoFree                                        0x11       S    336
   293  0x0007  RedoFree                                        0x11       S    336
   294  0x0007  RedoFree                                        0x11       S    312
   295  0x0007  RedoFree                                        0x11       S    312
   296  0x0007  RedoFree                                        0x11       S    312
   297  0x0007  RedoFree                                        0x11       S    312
   298  0x0007  RedoFree                                        0x11       S    312
   299  0x0007  RedoFree                                        0x11       S    312
   300  0x0007  RedoFree                                        0x11       S    312
   301  0x0007  RedoFree                                        0x11       S    312
   302  0x0007  RedoFree                                        0x11       S    312
   303  0x0007  RedoFree                                        0x11       S    312
   304  0x0007  RedoFree                                        0x11       S    312
   305  0x0007  RedoFree                                        0x11       S    312
   306  0x0007  RedoFree                                        0x11       S    312
   307  0x0007  RedoFree                                        0x11       S    312
   308  0x0007  RedoFree                                        0x11       S    312
   309  0x0007  RedoFree                                        0x11       S    312
   310  0x0007  RedoFree                                        0x11       S    312
   311  0x0007  RedoFree                                        0x11       S    312
   312  0x0007  RedoFree                                        0x11       S    312
   313  0x0007  RedoFree                                        0x11       S    312
   314  0x0007  RedoFree                                        0x11       S    312
   315  0x0007  RedoFree                                        0x11       S    312
   316  0x0007  RedoFree                                        0x11       S    312
   317  0x0007  RedoFree                                        0x11       S    312
   318  0x0007  RedoFree                                        0x11       S    312
   319  0x0007  RedoFree                                        0x11       S    312
   320  0x0007  RedoFree                                        0x11       S    312
   321  0x0007  RedoFree                                        0x11       S    312
   322  0x0007  RedoFree                                        0x11       S    312
   323  0x0007  RedoFree                                        0x11       S    312
   324  0x0007  RedoFree                                        0x11       S    312
   325  0x0007  RedoFree                                        0x11       S    312
   326  0x0007  RedoFree                                        0x11       S    312
   327  0x0007  RedoFree                                        0x11       S    312
   328  0x0007  RedoFree                                        0x11       S    312
   329  0x0007  RedoFree                                        0x11       S    312
   330  0x0007  RedoFree                                        0x11       S    312
   331  0x0007  RedoFree                                        0x11       S    312
   332  0x0007  RedoFree                                        0x11       S    312
   333  0x0007  RedoFree                                        0x11       S    312
   334  0x0007  RedoFree                                        0x11       S    312
   335  0x0007  RedoFree                                        0x11       S    312
   336  0x0007  RedoFree                                        0x11       S    312
