==============================================================================
ReFS Parent-Child Table
==============================================================================
  Image:            win11refs2tspecials.raw
  Partition start:  0x1000000
  Cluster size:     0x1000
  ReFS version:     3.14
  CPC:              0x4000 (shift=15)
  PC Table root:    [0x13604, 0x13605, 0x13606, 0x13607]
  PC Table phys:    [0x3604, 0x3605, 0x3606, 0x3607]
  Page signature:   MSB+

------------------------------------------------------------------------------
Parent-Child Relationships
------------------------------------------------------------------------------
  Total entries:      218
  Unique parents:     99
  Unique children:    218
  Unique OIDs:        219
  Tree roots:         0x600

  Parent         → Child            Parent Name               → Child Name
  0x7b7          → 0x77e            Dir/File (0x7b7)          → Dir/File (0x77e)
  0x7bb          → 0x7cd            Dir/File (0x7bb)          → Dir/File (0x7cd)
  0x7bd          → 0x7c4            Dir/File (0x7bd)          → Dir/File (0x7c4)
  0x7bd          → 0x7e0            Dir/File (0x7bd)          → Dir/File (0x7e0)
  0x7c1          → 0x7c2            Dir/File (0x7c1)          → Dir/File (0x7c2)
  0x7c1          → 0x7ce            Dir/File (0x7c1)          → Dir/File (0x7ce)
  0x7c1          → 0x7d2            Dir/File (0x7c1)          → Dir/File (0x7d2)
  0x7c3          → 0x7e3            Dir/File (0x7c3)          → Dir/File (0x7e3)
  0x7c4          → 0x7e2            Dir/File (0x7c4)          → Dir/File (0x7e2)
  0x7c6          → 0x7cc            Dir/File (0x7c6)          → Dir/File (0x7cc)
  0x7ca          → 0x7d8            Dir/File (0x7ca)          → Dir/File (0x7d8)
  0x7cb          → 0x7cf            Dir/File (0x7cb)          → Dir/File (0x7cf)
  0x7cc          → 0x7d6            Dir/File (0x7cc)          → Dir/File (0x7d6)
  0x7cf          → 0x7c5            Dir/File (0x7cf)          → Dir/File (0x7c5)
  0x7d0          → 0x7d3            Dir/File (0x7d0)          → Dir/File (0x7d3)
  0x7d0          → 0x7d9            Dir/File (0x7d0)          → Dir/File (0x7d9)
  0x7d5          → 0x7df            Dir/File (0x7d5)          → Dir/File (0x7df)
  0x7d9          → 0x7da            Dir/File (0x7d9)          → Dir/File (0x7da)
  0x7e5          → 0x7f2            Dir/File (0x7e5)          → Dir/File (0x7f2)
  0x7e5          → 0x7fa            Dir/File (0x7e5)          → Dir/File (0x7fa)
  0x7e5          → 0x805            Dir/File (0x7e5)          → Object 0x805
  0x7e5          → 0x806            Dir/File (0x7e5)          → Object 0x806
  0x7e5          → 0x808            Dir/File (0x7e5)          → Object 0x808
  0x7e6          → 0x7eb            Dir/File (0x7e6)          → Dir/File (0x7eb)
  0x7e9          → 0x7e7            Dir/File (0x7e9)          → Dir/File (0x7e7)
  0x7e9          → 0x7fb            Dir/File (0x7e9)          → Dir/File (0x7fb)
  0x7e9          → 0x7fd            Dir/File (0x7e9)          → Dir/File (0x7fd)
  0x7e9          → 0x807            Dir/File (0x7e9)          → Object 0x807
  0x7ea          → 0x7e6            Dir/File (0x7ea)          → Dir/File (0x7e6)
  0x7ea          → 0x7e9            Dir/File (0x7ea)          → Dir/File (0x7e9)
  0x7ee          → 0x7f8            Dir/File (0x7ee)          → Dir/File (0x7f8)
  0x7f2          → 0x804            Dir/File (0x7f2)          → Object 0x804
  0x7f2          → 0x80d            Dir/File (0x7f2)          → Object 0x80d
  0x7f2          → 0x81a            Dir/File (0x7f2)          → Object 0x81a
  0x7f3          → 0x81c            Dir/File (0x7f3)          → Object 0x81c
  0x7f4          → 0x7f0            Dir/File (0x7f4)          → Dir/File (0x7f0)
  0x7f4          → 0x7f5            Dir/File (0x7f4)          → Dir/File (0x7f5)
  0x7f4          → 0x7fc            Dir/File (0x7f4)          → Dir/File (0x7fc)
  0x7fb          → 0x7ee            Dir/File (0x7fb)          → Dir/File (0x7ee)
  0x804          → 0x7ea            Object 0x804              → Dir/File (0x7ea)
  0x804          → 0x817            Object 0x804              → Object 0x817
  0x805          → 0x812            Object 0x805              → Object 0x812
  0x808          → 0x7f3            Object 0x808              → Dir/File (0x7f3)
  0x80d          → 0x7f4            Object 0x80d              → Dir/File (0x7f4)
  0x80d          → 0x81d            Object 0x80d              → Object 0x81d
  0x812          → 0x813            Object 0x812              → Object 0x813
  0x813          → 0x814            Object 0x813              → Object 0x814
  0x814          → 0x80e            Object 0x814              → Object 0x80e
  0x81a          → 0x81e            Object 0x81a              → Object 0x81e

------------------------------------------------------------------------------
Directory Tree
------------------------------------------------------------------------------
  0x600 Root Directory (5 children)
  │   ├── 0x520 FS Metadata
  │   ├── 0x701 Dir/File (0x701)
  │   ├── 0x702 Dir/File (0x702) (5 children)
  │   │   ├── 0x709 Dir/File (0x709) (6 children)
  │   │   │   ├── 0x719 Dir/File (0x719) (3 children)
  │   │   │   │   ├── 0x71d Dir/File (0x71d)
  │   │   │   │   ├── 0x73b Dir/File (0x73b) (2 children)
  │   │   │   │   │   ├── 0x73c Dir/File (0x73c)
  │   │   │   │   │   ├── 0x750 Dir/File (0x750)
  │   │   │   │   ├── 0x743 Dir/File (0x743)
  │   │   │   ├── 0x726 Dir/File (0x726) (3 children)
  │   │   │   │   ├── 0x768 Dir/File (0x768) (1 children)
  │   │   │   │   │   ├── 0x76f Dir/File (0x76f)
  │   │   │   │   ├── 0x76a Dir/File (0x76a)
  │   │   │   │   ├── 0x76d Dir/File (0x76d) (1 children)
  │   │   │   │   │   ├── 0x773 Dir/File (0x773)
  │   │   │   ├── 0x72f Dir/File (0x72f)
  │   │   │   ├── 0x740 Dir/File (0x740) (3 children)
  │   │   │   │   ├── 0x74c Dir/File (0x74c) (1 children)
  │   │   │   │   │   ├── 0x72e Dir/File (0x72e) (2 children)
  │   │   │   │   │   │   ├── 0x746 Dir/File (0x746)
  │   │   │   │   │   │   ├── 0x74a Dir/File (0x74a)
  │   │   │   │   ├── 0x759 Dir/File (0x759)
  │   │   │   │   ├── 0x76c Dir/File (0x76c)
  │   │   │   ├── 0x74b Dir/File (0x74b) (2 children)
