path,basename,is_refs,version,cluster,checksum,state,vol_flags,serial,ext_guid,baseline_group,derived,independent,note
analysis/rawdisk/disks/step4continuing/win11refsmini_afterchangingvolumeflagstest2.raw,win11refsmini_afterchangingvolumeflagstest2.raw,True,3.14,4096,CRC64,native,0x6666,0x504a8ba64a8b8804,set,0x504a8ba6,True,False,
analysis/rawdisk/disks/step4continuing/win11refsmini_aftercorruption.raw,win11refsmini_aftercorruption.raw,True,3.14,4096,CRC64,native,0x66,0x504a8ba64a8b8804,set,0x504a8ba6,True,False,
analysis/rawdisk/disks/step4continuing/win11refsmini_aftercorruption_openedwith314.raw,win11refsmini_aftercorruption_openedwith314.raw,True,3.14,4096,CRC64,native,0x66,0x504a8ba64a8b8804,set,0x504a8ba6,True,False,
analysis/rawdisk/disks/step4continuing/win11refsmini_aftercorruption_openedwith34.raw,win11refsmini_aftercorruption_openedwith34.raw,True,3.14,4096,CRC64,native,0x66,0x504a8ba64a8b8804,set,0x504a8ba6,True,False,
analysis/rawdisk/disks/step4continuing/win11refsmini_beforechangingbootformattimeguid.raw,win11refsmini_beforechangingbootformattimeguid.raw,True,3.14,4096,CRC64,native,0x66,0x504a8ba64a8b8804,set,0x504a8ba6,True,False,
analysis/rawdisk/disks/step4continuing/win11refsmini_beforecorruption.raw,win11refsmini_beforecorruption.raw,True,3.14,4096,CRC64,native,0x66,0x504a8ba64a8b8804,set,0x504a8ba6,True,False,
analysis/rawdisk/disks/step5/testatomic/win11refslasttests_baseline.raw,win11refslasttests_baseline.raw,True,3.14,4096,CRC64,native,0x66,0xf2c6a426c6a3e955,set,0xf2c6a426,False,True,
analysis/rawdisk/disks/step5/testatomic/win11refslasttests_baseline_detached.raw,win11refslasttests_baseline_detached.raw,True,3.14,4096,CRC64,native,0x66,0xf2c6a426c6a3e955,set,0xf2c6a426,True,False,
analysis/rawdisk/disks/step5/testatomic/win11refslasttests_baseline_detached_remounte.raw,win11refslasttests_baseline_detached_remounte.raw,True,3.14,4096,CRC64,native,0x66,0xf2c6a426c6a3e955,set,0xf2c6a426,True,False,
analysis/rawdisk/disks/step5/testatomic/win11refslasttests_baseline_detached_remounte_detached.raw,win11refslasttests_baseline_detached_remounte_detached.raw,True,3.14,4096,CRC64,native,0x66,0xf2c6a426c6a3e955,set,0xf2c6a426,True,False,
analysis/rawdisk/disks/step5/testatomic/win11refslasttests_baseline_mkdirtest.raw,win11refslasttests_baseline_mkdirtest.raw,True,3.14,4096,CRC64,native,0x66,0xf2c6a426c6a3e955,set,0xf2c6a426,False,True,
analysis/rawdisk/disks/step5/testatomic/win11refslasttests_baseline_mkdirtest_setcontenthitxt.raw,win11refslasttests_baseline_mkdirtest_setcontenthitxt.raw,True,3.14,4096,CRC64,native,0x66,0xf2c6a426c6a3e955,set,0xf2c6a426,False,True,
analysis/rawdisk/disks/step5/testatomic/win11refslasttests_baseline_mkdirtest_setcontenthitxt_testads.raw,win11refslasttests_baseline_mkdirtest_setcontenthitxt_testads.raw,True,3.14,4096,CRC64,native,0x66,0xf2c6a426c6a3e955,set,0xf2c6a426,False,True,
analysis/rawdisk/disks/step5/testatomic/win11refslasttests_baseline_mkdirtest_setcontenthitxt_testads_rmhitxt.raw,win11refslasttests_baseline_mkdirtest_setcontenthitxt_testads_rmhitxt.raw,True,3.14,4096,CRC64,native,0x66,0xf2c6a426c6a3e955,set,0xf2c6a426,False,True,
analysis/rawdisk/disks/step5/testatomic/win11refslasttests_baseline_mkdirtest_setcontenthitxt_testads_rmhitxt_hotxt.raw,win11refslasttests_baseline_mkdirtest_setcontenthitxt_testads_rmhitxt_hotxt.raw,True,3.14,4096,CRC64,native,0x66,0xf2c6a426c6a3e955,set,0xf2c6a426,False,True,
analysis/rawdisk/disks/step5/testatomic/win11refslasttests_baseline_mkdirtest_setcontenthitxt_testads_rmhitxt_hotxt_snapshot.raw,win11refslasttests_baseline_mkdirtest_setcontenthitxt_testads_rmhitxt_hotxt_snapshot.raw,True,3.14,4096,CRC64,native,0x66,0xf2c6a426c6a3e955,set,0xf2c6a426,False,True,
analysis/rawdisk/disks/step5/testatomic/win11refslasttests_baseline_mkdirtest_setcontenthitxt_testads_rmhitxt_hotxt_snapshot_usnjournal.raw,win11refslasttests_baseline_mkdirtest_setcontenthitxt_testads_rmhitxt_hotxt_snapshot_usnjournal.raw,True,3.14,4096,CRC64,native,0x66,0xf2c6a426c6a3e955,set,0xf2c6a426,False,True,
analysis/rawdisk/disks/step5/testatomic/win11refslasttests_baseline_mkdirtest_setcontenthitxt_testads_rmhitxt_hotxt_snapshot_usnjournal_cpgit.raw,win11refslasttests_baseline_mkdirtest_setcontenthitxt_testads_rmhitxt_hotxt_snapshot_usnjournal_cpgit.raw,True,3.14,4096,CRC64,native,0x66,0xf2c6a426c6a3e955,set,0xf2c6a426,False,True,
analysis/rawdisk/disks/step5/testatomic/win11refslasttests_baseline_mkdirtest_setcontenthitxt_testads_rmhitxt_hotxt_snapshot_usnjournal_cpgit_unmounted.raw,win11refslasttests_baseline_mkdirtest_setcontenthitxt_testads_rmhitxt_hotxt_snapshot_usnjournal_cpgit_unmounted.raw,True,3.14,4096,CRC64,native,0x66,0xf2c6a426c6a3e955,set,0xf2c6a426,True,False,
