seq,timestamp,action,path,name,oid,opcodes,record_count,plcn,image
99,2026-05-23T06:57:31.291Z,CREATE,OID 0x70e,MSI9d90e.tmp,0x70e,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,32972,win11refstestmftecmd.raw
100,2026-05-23T06:57:40.841Z,CREATE,OID 0x70f,MSI9d914.tmp,0x70f,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,32973,win11refstestmftecmd.raw
101,2026-05-23T06:57:49.400Z,CREATE,OID 0x710,MSI9d91a.tmp,0x710,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,32974,win11refstestmftecmd.raw
102,2026-05-23T06:57:55.181Z,CREATE,OID 0x711,MSI9d920.tmp,0x711,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,32975,win11refstestmftecmd.raw
103,,CONTAINER,,,,MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER,10,32976,win11refstestmftecmd.raw
104,2026-05-23T06:59:25.336Z,CREATE,OID 0x712,MSI9d926.tmp,0x712,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,32977,win11refstestmftecmd.raw
105,,DELETE,/,MSI9d92c.tmp,0x600,DELETE_ROW DELETE_ROW DELETE_TABLE DELETE_ROW,4,32979,win11refstestmftecmd.raw
106,2026-05-23T06:59:33.092Z,CREATE,OID 0x716,MSI9d93e.tmp,0x716,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,32981,win11refstestmftecmd.raw
107,2026-05-23T06:59:34.721Z,CREATE,OID 0x717,MSI9d944.tmp,0x717,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,32982,win11refstestmftecmd.raw
108,2026-05-23T06:59:36.259Z,CREATE,OID 0x718,MSI9d94a.tmp,0x718,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,32983,win11refstestmftecmd.raw
109,2026-05-23T06:59:38.235Z,CREATE,OID 0x719,MSI9d950.tmp,0x719,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,32984,win11refstestmftecmd.raw
110,2026-05-23T06:59:40.004Z,CREATE,OID 0x71a,MSI9d956.tmp,0x71a,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,32985,win11refstestmftecmd.raw
111,2026-05-23T06:59:41.783Z,CREATE,OID 0x71b,MSI9d95c.tmp,0x71b,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,32986,win11refstestmftecmd.raw
112,2026-05-23T06:59:43.439Z,CREATE,OID 0x71c,MSI9d962.tmp,0x71c,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,32987,win11refstestmftecmd.raw
113,2026-05-23T06:59:45.237Z,CREATE,OID 0x71d,MSI9d968.tmp,0x71d,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,32988,win11refstestmftecmd.raw
114,2026-05-23T06:59:46.703Z,CREATE,OID 0x71e,MSI9d96e.tmp,0x71e,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,32989,win11refstestmftecmd.raw
115,2026-05-23T06:59:48.605Z,CREATE,OID 0x71f,MSI9d974.tmp,0x71f,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,32990,win11refstestmftecmd.raw
116,2026-05-23T06:59:50.520Z,CREATE,OID 0x720,MSI9d97a.tmp,0x720,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,32991,win11refstestmftecmd.raw
117,2026-05-23T06:59:52.474Z,CREATE,OID 0x721,MSI9d980.tmp,0x721,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,32992,win11refstestmftecmd.raw
118,,CONTAINER,,,,MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER,15,32993,win11refstestmftecmd.raw
119,2026-05-23T07:04:28.426Z,CREATE,OID 0x722,MSI9d986.tmp,0x722,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,32994,win11refstestmftecmd.raw
120,,DELETE,/,MSI9d986.tmp,0x600,DELETE_ROW DELETE_ROW DELETE_TABLE DELETE_ROW,4,32997,win11refstestmftecmd.raw
121,2026-05-23T07:04:42.597Z,CREATE,OID 0x725,MSI9d999.tmp,0x725,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,32999,win11refstestmftecmd.raw
