seq,timestamp,action,path,name,oid,opcodes,record_count,plcn,image
156,2026-05-23T07:33:58.403Z,CREATE,/test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_603462,xbpt_whiskey_mike_200124.xml,0x740,INSERT_ROW INSERT_ROW SET_OBJECT,3,33041,win11refstestmftecmd.raw
157,,STREAM_UPD,/test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_603462,,0x740,UPDATE_STREAM,1,33042,win11refstestmftecmd.raw
158,2026-05-23T07:33:58.453Z,CREATE,/test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_603462,xbpt_temp_alpha_239873.log,0x740,INSERT_ROW INSERT_ROW SET_OBJECT,3,33045,win11refstestmftecmd.raw
159,,STREAM_UPD,/test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_603462,,0x740,UPDATE_STREAM,1,33046,win11refstestmftecmd.raw
160,,ALLOCATE,/test,,0x73f,ALLOCATE,1,33047,win11refstestmftecmd.raw
161,,REPARENT,/test,,0x73f,DELETE_ROW REPARENT_TABLE INSERT_ROW,3,33048,win11refstestmftecmd.raw
162,,STREAM_UPD,/test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_603462,,0x740,UPDATE_STREAM,1,33050,win11refstestmftecmd.raw
163,,REPARENT,/test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_603462,xbpt_audit_oscar_237968.log,0x740,DELETE_ROW INSERT_ROW REPARENT_TABLE INSERT_ROW,4,33051,win11refstestmftecmd.raw
164,2026-05-23T07:33:58.504Z,CREATE,/test,xbpt_symlink_record_442168.lnk,0x73f,INSERT_ROW INSERT_ROW SET_OBJECT,3,33052,win11refstestmftecmd.raw
165,2026-05-23T07:33:58.528Z,CREATE,/test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_config_541148,elvis_dir_audit_423251,0x741,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,33054,win11refstestmftecmd.raw
